[phase] parse: 24 ms
[phase] build_index: 19 ms
[phase] visit_nodes: 27 ms
[phase] visit_lines: 23 ms
[phase] trailing_empty_lines: 0 ms
[phase] into_diagnostics: 0 ms
[phase] total: 97 ms
[rule_agg] rule_name,total_us,count
[rule_agg] layout::indentation_style::IndentationStyle,0,65002
[rule_agg] layout::def_end_alignment::DefEndAlignment,22,5000
[rule_agg] layout::trailing_whitespace::TrailingWhitespace,3,65002
[rule_agg] layout::indentation_width::IndentationWidth,1,5001
[rule_agg] layout::leading_empty_lines::LeadingEmptyLines,0,65002
[rule_agg] lint::debugger::Debugger,1,50000
[rule_agg] layout::indentation_consistency::IndentationConsistency,4962,5001
[rule_agg] layout::empty_lines::EmptyLines,12,65002
