[phase] parse: 32 ms
[phase] build_index: 17 ms
[phase] visit_nodes: 66 ms
[phase] visit_lines: 41 ms
[phase] trailing_empty_lines: 0 ms
[phase] into_diagnostics: 0 ms
[phase] total: 161 ms
[rule_agg] rule_name,total_us,count
[rule_agg] lint::debugger::Debugger,336,50000
[rule_agg] layout::indentation_consistency::IndentationConsistency,13486,5001
[rule_agg] layout::trailing_whitespace::TrailingWhitespace,81,65002
[rule_agg] layout::leading_empty_lines::LeadingEmptyLines,92,65002
[rule_agg] layout::indentation_style::IndentationStyle,59,65002
[rule_agg] layout::def_end_alignment::DefEndAlignment,154,5000
[rule_agg] layout::indentation_width::IndentationWidth,23,5001
[rule_agg] layout::empty_lines::EmptyLines,43,65002
