[phase] parse: 26 ms
[phase] build_index: 17 ms
[phase] visit_nodes: 29 ms
[phase] visit_lines: 24 ms
[phase] trailing_empty_lines: 0 ms
[phase] into_diagnostics: 0 ms
[phase] total: 100 ms
[rule_agg] rule_name,total_us,count
[rule_agg] lint::debugger::Debugger,44,50000
[rule_agg] layout::empty_lines::EmptyLines,15,65002
[rule_agg] layout::indentation_style::IndentationStyle,0,65002
[rule_agg] layout::trailing_whitespace::TrailingWhitespace,23,65002
[rule_agg] layout::def_end_alignment::DefEndAlignment,7,5000
[rule_agg] layout::leading_empty_lines::LeadingEmptyLines,24,65002
[rule_agg] layout::indentation_width::IndentationWidth,0,5001
[rule_agg] layout::indentation_consistency::IndentationConsistency,5223,5001
